entry,GY,TKW,GPS,SPMS,GPMS,PH,SL,DFF,FLW,FLL,FLA,ESV
59,1726.896593,46.7423775,38.2143,204.990875,8145.2375,92.41851761,8.3017225,143.502,1.503545,21.601875,24.98265,0.68
60,1655.829714,44.21875,38.18191,204.3988,7951.4025,90.62473873,8.558875,143.64268,1.5549575,20.1992,25.890575,0.63
61,1641.707921,47.448875,41.269555,225.754525,7808.18505,93.97667225,8.78655,144.2961,1.5135275,22.509375,27.6807,0.65
62,1568.944836,46.9342225,38.4163425,212.6255,7862.996,101.463983,8.467375,143.09102,1.5410625,23.954425,30.318575,0.68
63,1626.800757,45.9067,37.27747,211.9834,7393.15435,91.64545508,8.2447725,144.486952,1.6623575,21.247105,26.880775,0.66
64,1623.395593,47.4754025,38.1525775,201.764625,8379.990675,93.24182471,8.9443625,145.1215,1.63322625,23.0474,30.115805,0.63
65,1617.594386,46.531625,37.323455,201.832375,7973.953925,96.88533079,8.8929,145.8633,1.66878,23.8787,33.4291,0.61
66,1752.127271,47.011075,41.56651225,227.841925,8327.997675,88.43434918,8.5079775,144.54226,1.57380825,20.103725,26.05195,0.67
67,1657.045871,48.551125,41.11845,215.355975,8065.36775,99.33686753,9.0043625,145.196034,1.48862,22.41505,27.337425,0.68
68,1643.426457,47.313725,39.2197465,214.8060125,7393.374825,92.08183879,8.7008625,143.09738,1.5800425,21.764775,26.598825,0.67
69,1728.470043,48.567025,39.034775,213.913275,7935.3214,95.23485411,8.68827,144.297044,1.5403525,23.756225,29.323975,0.69
70,1722.604679,48.33408,38.3480275,210.150175,8028.9794,98.81767586,8.2540525,143.22862,1.60106725,22.3283325,27.2464275,0.65
71,1784.805071,49.574075,41.030165,228.92325,8495.3175,101.0616138,8.902735,145.0784,1.5636025,23.2662,30.46725,0.66
72,1658.847,47.9272,38.2860925,225.397,7813.157875,96.6249411,8.4291725,143.5822,1.6665725,22.15415,31.084925,0.67
73,1500.42215,45.950175,37.854525,203.196025,7887.243275,93.65588414,9.4551625,145.662952,1.5804995,22.238725,28.082975,0.62
74,1724.403171,48.575975,41.4286525,228.999325,8229.297525,97.62198501,8.60154,145.92548,1.55539625,23.5659475,29.438625,0.67
75,1703.559429,48.315245,38.68302,214.49825,7877.475,97.20357852,8.6098725,143.3863,1.55186,21.5749525,27.9964,0.66
76,1790.532436,48.3164375,41.83414,215.946075,8627.665,99.0467946,8.482575,145.79968,1.4997025,23.5163,27.4955,0.65
77,1719.33075,45.574475,38.221205,213.383125,8560.335275,90.31203383,8.376525,145.29292,1.5671275,20.926475,26.6416,0.67
78,1598.261157,46.88929,38.28099,206.536775,7521.615,99.16823548,9.1144325,144.2206,1.517355,21.899725,27.39315,0.66
79,1483.644271,44.658075,37.8081025,199.654125,7446.439625,90.92631414,8.4257075,144.19144,1.4917525,19.9735,25.686525,0.62
80,1774.504536,47.7441675,40.914375,204.523825,8621.9325,97.98378156,8.9064375,145.74384,1.734025,23.02258,30.876975,0.64
81,1708.967329,47.75435,40.901655,217.159825,7822.72405,98.36981543,8.824,145.07076,1.4727,23.024825,25.889525,0.67
82,1653.17235,46.3458,39.186976,215.9964,7961.872925,91.28998098,8.6364725,145.90342,1.6749325,21.459675,27.707925,0.65
83,1715.552279,47.85845,42.322075,227.17115,7873.12,97.51708362,9.0104,144.83538,1.52216,20.621875,24.612175,0.68
84,1683.963221,47.12715,38.1674,210.743875,7997.979425,94.70360793,9.1258625,145.4794,1.612775,22.46205,29.780475,0.65
85,1653.785279,48.20905,38.073275,205.262025,7957.757475,95.39934948,8.6170225,144.530812,1.5490225,23.481175,29.054525,0.64
86,1522.272886,46.8778,37.9951825,198.721425,7487.95635,98.63200263,8.4052975,144.65138,1.5508525,21.9197,28.0116,0.66
87,1616.685429,47.40575,37.987845,220.454525,8199.197675,104.0174928,9.187175,145.83356,1.604935,23.773675,32.09605,0.63
88,1620.455821,49.71475,39.0015375,205.399475,7774.550075,94.71962783,9.086585,144.6267,1.601355,23.2717,29.595775,0.62
89,1511.945571,45.17985,35.7858325,200.70185,7035.5925,99.35574571,9.320325,144.854438,1.6345575,22.4549,28.4256,0.68
90,1573.642114,45.1373,38.7374275,214.34115,7922.8425,93.65101178,9.2722625,145.70426,1.6806725,19.847175,28.52595,0.67
91,1733.506743,46.7646,42.11167,218.884825,8007.4596,95.99413866,9.026525,144.149104,1.6883425,21.974975,30.710725,0.67
92,1677.248357,49.03255,38.13996475,207.08245,8351.7425,99.05375871,9.3494725,146.05746,1.6681575,23.02686,31.25515,0.69
93,1677.110836,46.138825,38.651675,225.804575,7919.4464,93.1498238,9.131875,145.86532,1.60419875,22.6871,28.8832,0.67
94,1659.060964,46.517125,36.48345,194.74875,8066.04105,99.50985713,8.4632775,144.09622,1.5096,23.27705,28.49821,0.69
95,1604.6283,48.198225,38.4900875,212.95375,7712.592775,96.82793748,8.46035,144.14906,1.513605,24.605625,28.409915,0.68
96,1734.248186,48.439025,41.550875,229.88785,7827.6786,91.24783814,7.8564375,142.89392,1.4836875,21.71675,25.280175,0.63
97,1529.419807,45.8508,38.16235,210.6893,8059.54595,93.6273497,8.578775,145.549106,1.47699,22.8099975,27.538625,0.65
98,1660.470871,49.31995,41.5762675,210.3997,7586.092,101.1242789,8.815625,143.5891,1.6071675,23.23715,31.30955,0.62
99,1613.52935,47.77825,41.81855,225.688625,7596.842225,97.00635489,8.989925,146.14826,1.7057425,25.2568,34.8864,0.61
100,1795.194529,47.511015,38.87437975,214.91145,8272.9725,92.22662879,8.6625525,145.19848,1.5342775,21.1934,25.894875,0.67
101,1568.462214,46.55975,37.405968,200.537525,6646.539975,97.39869969,8.4416,145.313314,1.667775,21.383775,29.15684,0.66
102,1659.526557,47.3781,41.441225,229.382475,8264.366,95.27329838,8.44561,144.8515,1.5734365,21.187925,27.441995,0.65
103,1688.648671,42.49915,37.234385,192.8528,8063.64045,90.48315561,8.5968475,145.33638,1.699755,22.0238,31.278475,0.65
104,1740.422721,46.9115,41.1576,226.6469,8315.595,92.85645816,8.56395,145.51835,1.616949,23.832925,30.608525,0.68
105,1528.279,46.4122,38.83145,215.223925,7334.835,97.07941742,9.0323,145.17686,1.6729975,25.4044,34.4915,0.68
106,1730.980964,47.059275,40.83544,221.7262,7972.151425,103.1265417,8.633665,146.00094,1.580795,24.5972,31.84365,0.68
107,1620.351679,45.3927,37.3589325,191.307275,8264.754875,98.09352183,9.2380975,147.2375,1.75305,23.9767,33.264775,0.68
108,1620.379557,49.0329,38.8424025,212.94455,7865.32775,96.04903821,9.0165475,143.97362,1.7116175,23.818975,33.90175,0.65
109,1620.091036,48.8485,38.9976825,219.67535,7845.578875,100.2042396,10.0481,145.98824,1.6239,23.0648225,30.88935,0.68
110,1736.883264,46.800025,36.972155,175.86925,8110.988,95.48842614,7.871125,144.18392,1.561405,21.3948475,27.4456,0.67
111,1635.5239,46.62875,39.1236225,206.854075,7759.4554,93.06839645,9.0421125,144.705,1.5367875,23.273125,27.4548775,0.68
112,1768.58325,47.735005,38.6255,209.89405,8168.89055,95.38875393,9.0484225,144.42196,1.609265,22.36635,28.23755,0.64
113,1719.458521,46.46392,38.857005,206.72145,7849.576225,95.80004047,8.9685225,146.59714,1.6749775,22.838425,29.6192,0.63
114,1671.000071,45.95145,38.566715,212.090475,8415.6475,95.33788577,9.1645275,145.77872,1.60724,22.5836025,29.60305,0.65
115,1575.463586,49.1048225,37.96918675,208.1326,7806.989025,92.42308702,8.408975,144.20706,1.5786625,20.648675,26.291275,0.66
116,1532.998429,47.006625,37.0945225,208.65395,7496.647175,93.69957144,8.69236,143.64616,1.540905,22.087775,27.4951,0.68
117,1654.887514,48.193325,41.180225,229.054225,7697.9581,96.18205008,8.77635,146.04808,1.5101425,23.0079,27.568675,0.63
118,1571.164586,47.41565,37.310695,181.965075,7486.735,98.14965357,8.4156325,145.0171,1.588415,23.29665,28.697925,0.65
119,1591.910729,48.460565,37.952545,220.895275,7863.7475,100.6228453,8.726275,144.19502,1.6746425,23.6379525,32.53685,0.67
120,1668.066293,45.6384,36.506875,208.159725,7676.919975,96.0097792,9.5957775,145.5428,1.763775,22.790625,32.106225,0.69
121,1616.029421,48.310675,38.19041,208.51865,7998.435,94.35120681,8.4338275,144.63336,1.6955725,21.46096,30.1571525,0.67
122,1649.111079,47.8837,37.293215,197.751425,8240.9275,99.03899418,9.5103,145.18968,1.480555,24.587725,29.386525,0.66
123,1801.784886,46.27095,39.0134925,211.2624,8410.20555,95.83505771,8.465575,145.58746,1.4954575,21.2441725,24.705725,0.66
124,1641.654464,48.107625,38.7335775,209.900625,7698.882975,94.04532056,8.66185,143.10246,1.48299,20.5839,25.089925,0.65
125,1641.789314,48.5115,36.9495965,189.3985,7827.975275,97.99485942,8.57035,146.85774,1.644945,21.7038,28.334525,0.67
126,1737.295086,46.16555,41.180325,220.368475,7777.35,90.52791519,8.7590325,144.95436,1.6187025,21.351025,28.049675,0.61
127,1608.044579,48.752825,38.99649,228.9796,7955.3447,90.70776143,8.893425,144.66538,1.5594325,21.663725,26.9767,0.65
128,1585.672029,47.5136,37.8508975,192.459425,7849.58,98.93647479,8.5125725,143.48266,1.53005,23.90055,29.34065,0.66
129,1657.874093,49.28637,39.332975,200.660275,7622.398075,90.89885757,8.3923625,143.90994,1.520755,22.401645,25.83105,0.68
130,1572.308921,47.07545,38.4634975,188.73965,7215.56,96.55657879,9.101925,145.436476,1.6268625,22.76615,30.061525,0.68
131,1633.376421,45.08175,35.77835,184.08385,7918.92475,89.63993506,8.7014125,145.359614,1.7283025,20.398425,28.2828125,0.65
132,1584.363993,47.4475975,36.0770225,209.977325,7863.7875,103.4463516,9.3991525,145.376094,1.5209975,24.382725,29.1919,0.64
133,1769.504414,49.2892,40.89368,226.9127,8323.3854,95.08795675,9.0030975,144.5034,1.6831625,20.375975,28.618525,0.62
134,1661.9059,45.347825,37.896745,205.4222,8128.7525,96.31870385,9.0075375,144.9945,1.4733125,22.195775,27.71155,0.67
135,1502.221536,47.3136375,36.96038,197.5241,7722.33275,94.78032011,8.2958375,143.6028,1.620575,22.0685,27.0312,0.67
136,1642.98275,44.800975,36.10933,194.29805,7996.01,94.83138354,8.477525,144.0283272,1.5,21.53175,25.6542,0.66
137,1728.236157,48.628825,36.949795,184.597425,8487.31265,96.49622476,9.4353,145.53008,1.58697,21.55115,29.15905,0.69
138,1820.321464,48.25765,37.65709,218.2588,8339.135,98.42636095,8.8491,145.60538,1.6932775,22.7734625,30.73445,0.65
139,1689.912943,48.79605,42.07263,211.912775,7483.405,101.1100937,9.3169475,145.73356,1.712755,25.171675,34.0623,0.66
140,1658.426057,48.5154,36.752775,211.4216,7661.23,95.5781238,9.0700325,144.54912,1.54951,22.122025,28.265125,0.67
141,1550.348179,47.37615,38.677565,194.851375,7468.29,100.0986685,9.08912,146.26222,1.697005,24.502875,34.227825,0.67
142,1663.685386,47.8240825,37.4197175,219.421625,7747.2068,94.39386968,8.775965,144.8326,1.5562475,20.859375,26.441525,0.62
143,1620.35705,47.552625,37.18008,190.727625,7935.232425,95.06000755,8.3710225,143.44738,1.60383,21.7656,28.094425,0.63
144,1635.867736,47.4694,37.512335,197.2587,7871.763775,97.64486355,9.015705,145.34352,1.5722575,22.31445,29.2688825,0.65
145,1663.588971,49.59865,39.44105,226.669875,7481.69,98.51899686,8.9629225,143.14188,1.5901125,23.1262,29.06345,0.67
146,1653.486614,47.423275,36.2731325,180.98805,7986.62455,101.6552564,9.0778125,144.345508,1.7377275,24.1423,32.905375,0.68
147,1690.721243,47.647625,41.6247975,229.63185,7925.94475,101.2182467,9.674425,145.93162,1.71947,25.02535,33.9381,0.66
148,1583.915064,47.16125,37.7572825,214.3093,7613.435875,96.31832469,8.705025,143.7683,1.6902,23.5019125,31.884025,0.65
149,1641.4199,45.3605,38.2441325,199.02725,8076.19,92.78778471,8.231125,145.6709,1.6394425,21.911875,27.1645,0.66
150,1664.222657,50.469225,38.7874,214.43465,7928.865875,96.2054211,8.5271125,143.217334,1.4883,22.20605,27.0064,0.65
151,1491.865971,47.252875,37.2753225,194.50735,7344.2225,98.06545526,8.575675,143.36364,1.5543,23.2258,30.23655,0.67
152,1540.972186,46.80097,37.211655,199.266575,7612.951525,95.28460293,9.1613275,144.4207,1.6990875,23.07575,32.038025,0.66
153,1667.2633,45.49735,39.5606475,223.787625,8173.794675,96.54374799,8.8214425,145.44622,1.548325,21.990875,27.566025,0.68
154,1641.123643,45.8383,36.71922,218.077125,8044.683275,95.98782034,8.5128225,145.78616,1.5210125,21.46657,27.34995,0.64
155,1729.868057,46.633375,38.749425,227.6543,7992.915675,97.17141719,8.89211,145.16154,1.6004975,23.833525,31.2713875,0.65
156,1647.558757,49.960925,38.753845,205.335,7792.089525,98.38027548,8.184075,143.58836,1.57034375,22.32815,28.348925,0.7
157,1575.128336,47.003,36.776959,210.8645,7689.507625,93.02360188,8.5250275,145.2447472,1.6082375,21.398925,28.961375,0.69
158,1661.75255,45.4793,38.5405865,237.038,7551.5725,99.04955542,9.3569975,145.708726,1.726295,21.573925,29.143125,0.64
159,1785.14765,47.8019825,41.1109925,232.6021,8044.8275,91.07735627,8.68255,145.565894,1.5365875,20.2819,25.847075,0.61
160,1702.595907,45.096475,38.3618,211.077375,8135.851975,93.18233696,9.173675,146.07172,1.625993,21.44705,28.55205,0.61
161,1739.0614,48.1639375,42.1341125,219.14095,7508.01785,92.8623275,8.747275,143.95716,1.605655,21.33003,27.265275,0.69
162,1694.812164,47.3947125,38.71535,213.671125,7535.102975,93.8963754,8.9094325,145.28366,1.5534185,22.786325,26.710025,0.64
163,1815.994743,47.019375,39.617535,219.92935,8025.81475,94.86919918,8.64585,143.92424,1.52308725,20.102925,26.2268,0.68
164,1593.548986,45.556575,37.8167,221.736675,7472.649525,89.12234082,8.5831975,144.13576,1.5314725,21.047275,25.38315,0.65
165,1743.701964,49.657325,37.4075,218.31115,8182.245075,101.8791744,8.7031975,144.72304,1.7153825,22.734675,32.886625,0.67
166,1748.4751,48.022075,40.850375,212.84525,8770.8475,96.45160701,8.7615975,143.8911,1.48245,22.597075,26.379425,0.68
167,1764.096764,47.75725,40.9558125,216.551075,7839.770925,98.98573237,9.23262,144.589654,1.552705,24.321025,30.5794,0.67
168,1619.754179,46.654905,40.73859,210.312875,7271.473,92.7796595,8.4065475,144.10924,1.49787625,20.831375,24.716125,0.68
169,1743.883771,46.939925,41.063475,232.525975,8549.19,98.72002668,8.834685,143.953,1.63818,23.726675,32.66675,0.67
170,1707.7343,46.899555,38.4002375,208.673075,8697.116375,96.24004958,7.98785,145.64544,1.53621,24.51495,28.596,0.65
171,1589.398536,46.2956,39.009967,203.5686,7683.0975,94.83102451,8.541025,144.196084,1.55517,20.463875,25.335675,0.66
172,1658.823243,46.729675,37.255865,176.0904,8636.870975,100.7863502,8.8625475,145.45664,1.5935175,24.52965,31.0383,0.64
173,1711.402693,47.477675,42.0223375,211.843625,8086.4989,102.8080776,9.6456325,146.87046,1.7163,23.8176,32.2984,0.63
174,1786.391836,48.72695,41.52095,215.1753,8411.9725,95.06281106,8.8958475,143.8205,1.51631725,21.405825,27.53105,0.66
175,1627.592971,45.679125,38.3940575,207.240125,8503.038925,95.08323222,8.7506075,145.2216,1.5558675,20.958675,26.714175,0.68
176,1679.763136,48.17425,36.958625,205.885475,8391.36575,99.11791478,8.7909775,144.536424,1.59690975,24.1730125,29.666225,0.67
177,1471.225086,46.7248325,37.6577875,195.5783,7778.35,102.7758143,9.34035,145.48654,1.50523,23.53022,29.52865,0.64
178,1542.825407,48.212135,36.790205,217.193525,7408.66,97.7493009,9.1525225,144.75462,1.7038225,23.2758,31.0432,0.64
179,1754.627807,49.8247,41.31882,206.3423,7860.372575,96.42571438,9.3782075,145.93002,1.520255,21.92415,27.69135,0.65
180,1635.363307,45.052325,39.03874,221.622125,7687.405,93.28153432,8.4365975,144.555034,1.6860175,20.5040775,28.276125,0.65
181,1728.233243,45.675925,38.4909575,220.3381,7982.751275,96.35297338,8.238175,144.307572,1.528195,23.0659575,27.148425,0.68
182,1695.010357,46.122375,41.4629825,216.2511,7511.82,92.32054864,7.7631,145.000084,1.6181575,20.2004,26.80985,0.66
183,1557.624686,44.6218,36.5854875,190.32095,7535.9725,92.85594695,9.1719225,144.34916,1.594856,22.660875,28.9772,0.66
184,1649.044629,50.3087,41.3246925,217.52275,7971.5788,94.18880458,8.787735,143.48768,1.515975,21.6236,26.756125,0.64
185,1674.8369,47.402375,40.9250325,217.121925,7609.9759,96.4018388,9.0766,146.352706,1.61731375,22.61175,27.7553275,0.62
186,1618.376829,48.015215,38.8450775,214.633325,7957.678525,98.40710164,8.3539575,144.07652,1.57471,22.711125,28.066675,0.66
187,1710.586686,48.8448,41.5030325,212.097025,8211.94,105.0196906,9.4492,145.77086,1.683155,24.825825,35.119525,0.66
188,1520.842221,44.637875,37.3366825,209.3799,7277.2025,90.22400998,8.665625,146.49592,1.679285,20.36105,28.42915,0.68
189,1815.942171,48.306875,40.9408975,219.954125,8279.59,92.27692296,8.4745225,145.163612,1.5078,21.57475,25.231,0.64
190,1582.382136,48.843175,36.872375,200.9947,7797.5225,103.3049656,9.184085,146.0013,1.7115475,23.659075,34.041575,0.63
191,1510.465993,46.565095,38.2678325,197.3373,8130.1925,104.0438919,9.40538825,146.40292,1.585095,23.6183,29.9765025,0.63
192,1652.394064,46.447775,36.954025,197.55965,8250.655375,99.44013699,9.2890225,145.52242,1.6999775,22.6037,31.75035,0.67
193,1619.867443,47.5981,37.6372575,202.781075,8130.0825,92.45157208,8.35355,145.677892,1.4963525,21.900225,24.882725,0.66
194,1670.576343,46.66425,38.557625,224.647275,7722.4354,93.81804925,8.475525,143.88984,1.594205,20.68335,26.237925,0.65
195,1850.346821,48.46870025,40.976765,228.922425,8350.0404,100.3832573,8.389,145.34862,1.5731575,23.2475,27.726025,0.65
196,1574.757164,48.7369375,41.580185,213.408875,7334.2533,102.6902316,9.5391,146.0363,1.7439575,24.257475,36.270275,0.65
197,1574.414557,44.815025,36.7492025,200.6161,7351.7872,95.24634151,8.4521725,145.44798,1.621555,21.22665,26.33605,0.65
198,1779.644079,47.0231325,41.0483275,239.30605,8270.47845,93.63450538,8.561925,144.66129,1.54828,22.12404,27.984325,0.66
199,1615.127771,48.507225,39.239785,215.225275,7801.1023,100.8124899,8.8465575,146.253704,1.71104,24.21745,32.536125,0.68
200,1552.632186,44.53775,37.0025025,209.09262,7707.15635,95.44580282,9.2153975,145.01602,1.6397225,21.486075,29.876725,0.67
201,1691.630079,47.24795,40.750925,232.36945,7913.851175,92.83176066,9.078125,145.56686,1.6281965,22.6925475,28.275025,0.66
202,1662.757493,48.808675,38.42017,209.4385,8460.2475,100.4519393,8.68035,145.15208,1.6000775,23.961475,30.10015,0.62
203,1647.705329,48.1646625,41.871765,232.77995,7568.285,90.33585108,8.664875,144.535594,1.5134825,20.169525,25.1974,0.67
204,1606.151114,45.591875,37.3249175,207.498325,7570.716375,98.54925636,9.3675525,145.82084,1.6958075,23.146645,32.73335,0.64
