HybID	NSFTVID	Flowering time at Arkansas	Flowering time at Faridpur	Flowering time at Aberdeen	FT ratio of Arkansas/Aberdeen	FT ratio of Faridpur/Aberdeen	Culm habit	Leaf pubescence	Flag leaf length	Flag leaf width	Awn presence	Panicle number per plant	Plant height	Panicle length	Primary panicle branch number	Seed number per panicle	Florets per panicle	Panicle fertility	Seed length	Seed width	Seed volume	Seed surface area	Brown rice seed length	Brown rice seed width	Brown rice surface area	Brown rice volume	Seed length/width ratio	Brown rice length/width ratio	Seed color 	Pericarp color	Straighthead suseptability 	Blast resistance	Amylose content	Alkali spreading value	Protein content	Year07Flowering time at Arkansas	Year06Flowering time at Arkansas
081216-D01	18	98.83333333	67	129	0.766149871	0.519379845	8	NA	32.76666667	0.991666667	1	3.858973784	132	24.75555556	8	4.774529304	4.821746767	0.954	7.658116667	2.88365	2.045003208	3.621436051	5.631041667	2.48815	3.246846311	4.73395	2.656	2.263	0	1	NA	2	26.32333333	5	7.95	112	85.66666667
090414-B02	20	104	NA	198	0.525252525	NA	2	1	33.43333333	1.491666667	0	2.713590381	130.5	24.35454545	12.81818182	5.443597652	5.551196227	0.898	8.209158333	3.293458333	2.362247684	3.811149261	6.005216667	2.819791667	3.4409153	6.491675	2.493	2.13	0	0	6.835	6	17.81666667	7	8.55	93.5	114.5
081216-D03	22	101.6666667	73	100	1.016666667	0.73	3	1	43.53333333	1.6	NA	2.512305624	120.6666667	29.6	13.66666667	5.497168225	5.631211782	0.875	8.6127	3.452566667	2.509181831	3.905614515	6.284366667	2.880533333	3.506299864	7.110266667	2.495	2.182	0	0	6.33	1	23.25	5	8.7	NA	101.6666667
081216-D04	23	103.4444444	82	124	0.834229391	0.661290323	3	0	36.38888889	1.166666667	0	2.899588413	112.4444444	21.4	9.166666667	4.652901589	4.958171725	0.737	8.624533333	3.2538	2.383422101	3.842383675	6.2896	2.760841667	3.461330903	6.495658333	2.651	2.278	0	0	8.168333334	2	22.665	6	8.85	103	103.6666667
090414-B04	24	90.91666667	76	114	0.79751462	0.666666667	3	NA	35.90833333	1.533333333	0	2.899588413	132.8333333	23	8.833333333	4.856989537	5.063170242	0.814	9.6739	3.268941667	2.544889889	3.991602529	7.163508333	2.7702	3.601965345	7.492016667	2.959	2.586	0	0	7.583333334	1	21.41	5.5	8.4	87	94.83333333
081216-D05	25	92.18181818	75	108	0.853535354	0.694444444	1.909090909	1	35.75	1.3	0	3.139438994	132.125	21.46666667	9	5.04065631	5.156589207	0.891	8.751936364	3.102945455	2.333187481	3.832489713	6.510945455	2.6405625	3.456186188	6.157554545	2.821	2.466	0	0	8.33	5	20.43666667	6.5	8	87	98.4
081216-D06	26	92.33333333	76	117	0.789173789	0.64957265	3	1	38.61666667	1.65	0	2.651960734	136.9166667	25.80833333	10.91666667	5.078293943	5.233778845	0.856	9.636363636	3.230136364	2.512445172	3.971712174	7.1644	2.740545455	3.593532274	7.364290909	2.983	2.614	0	0	8.166666667	2	17.39	5.083333334	8.1	88	96.66666667
081216-D07	27	89.75	78	100	0.8975	0.78	4	NA	34.06666667	1.566666667	0	2.614959778	96.33333333	23.725	11.58333333	4.899703733	5.093750201	0.824	10.1823	3.644508333	2.82685395	4.160500395	7.2378	2.935675	3.656515943	8.342775	2.794	2.465	0	0	6.168333334	1	11.10333333	2	8.85	88	91.5
090414-B05	29	90.5	NA	187	0.483957219	NA	5	1	30.05	1.075	0	NA	121.8888889	24.8	8.333333333	4.672828834	4.700480366	0.973	7.8074	2.9248	2.056445822	3.627115746	5.6932	2.470366667	3.239890789	4.6415	2.669	2.305	0	0	9	6	23.06333333	5	7.5	NA	90.5
081216-D08	31	89	NA	239	0.372384937	NA	1	NA	29.85	0.833333333	0	3.044522438	118.3333333	22.41666667	10.33333333	5.0604831	5.130884422	0.932	7.130816667	3.33185	2.244175308	3.679483365	5.2067	2.894733333	3.317153114	5.878866667	2.14	1.799	0	0	6.831666667	6	19.73	7	6.8	89	NA
090325-A06	32	92.66666667	NA	184	0.503623188	NA	4.333333333	1	30.23333333	1.133333333	1	2.820055259	128.1111111	25	13	5.372703078	5.528546864	0.856	6.819333333	3.423422222	2.223927814	3.635488933	4.8141	2.976255556	3.26939909	5.774955556	1.992	1.618	0	0	6.835	4	18.415	7	7.9	90	98
090325-A07	33	82.25	63	81	1.015432099	0.777777778	5	NA	30.8	1.333333333	1	3.320228319	126.25	20.49166667	7.916666667	4.888676887	4.932072972	0.958	7.325583333	2.77925	1.919546617	3.533790696	5.376116667	2.389316667	3.167955093	4.210666667	2.636	2.25	0	0	7.5	5	23.44	4.777777778	8.05	80.5	84
090414-B06	34	97	NA	NA	NA	NA	1.666666667	1	39.36666667	0.95	0	3.135494216	117.5555556	23.11666667	10.83333333	4.16752618	4.982845297	0.442	7.4407	2.684366667	1.876141467	3.520911391	5.6439	2.340966667	3.174710748	4.0836	2.772	2.411	0	0	9	9	21.04	7	10.4	97	NA
